"In_your_own_words,_what_would_you_call_the_part_of_?",Personally_identification_as_a_Midwesterner?,Illinois_in_MW?,Indiana_in_MW?,Iowa_in_MW?,Kansas_in_MW?,Michigan_in_MW?,Minnesota_in_MW?,Missouri_in_MW?,Nebraska_in_MW?,North_Dakota_in_MW?,Ohio_in_MW?,South_Dakota_in_MW?,Wisconsin_in_MW?,Arkansas_in_MW?,Colorado_in_MW?,Kentucky_in_MW?,Oklahoma_in_MW?,Pennsylvania_in_MW?,West_Virginia_in_MW?,Montana_in_MW?,Wyoming_in_MW?,ZIP_Code,Gender,Age,Household_Income,Education,Location_(Census_Region)
Southeast,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,30506,Female,45-60,"$150,000+",Graduate degree,South Atlantic
DC Metro area,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,20854,Female,45-60,"$150,000+",Graduate degree,South Atlantic
Mid-Atlantic,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,22003,Male,45-60,"$150,000+",Graduate degree,South Atlantic
Middle Atlantic,Not at all,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,22193,Male,45-60,"$150,000+",Graduate degree,South Atlantic
Northern Virginia suburbs,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,22192,Male,45-60,"$150,000+",Graduate degree,South Atlantic
South,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,29073,Female,30-44,"$150,000+",Graduate degree,South Atlantic
East Coast,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,21128,Female,30-44,"$150,000+",Graduate degree,South Atlantic
South,Not at all,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,29710,Female,30-44,"$150,000+",Graduate degree,South Atlantic
Mid-Atlantic,Not at all,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,20007,Male,30-44,"$150,000+",Graduate degree,South Atlantic
Mid-Atlantice,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,20003,Male,30-44,"$150,000+",Graduate degree,South Atlantic
So far South you're starting to head North again.,Not at all,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,32503,Male,18-29,"$150,000+",Graduate degree,South Atlantic
Midwest,Not at all,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,49307,Female,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
Bucolic,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,21078,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
Northeast,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,25301,Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
Southwest Florida,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,33913,Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
new england,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,1730,Male,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
Southeast,Not at all,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,27101,Male,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
South,Some,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,32536,Male,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
East Coast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,21214,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
East,Not at all,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,20110,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
SE,Not at all,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,29412,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
Southeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,23518,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
Mid Atlantic states,Not at all,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,20910,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
Florida,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,33624,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
The South,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,33852,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
Rural,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,30458,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
U.S. Capitol,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,20007,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
Central Appalachia,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,25801,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
Virginia Piedmont,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,24502,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
South,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,29615,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
Southeast,Some,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,29664,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
Mid atlantic,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,21787,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
Mid Atlantic,Not much,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,25313,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
South east,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,27513,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
Mid-Atlantic region,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,21209,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
The Southeast.,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,30309,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
God's Country,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,27545,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
The South,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,30092,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
Appalacha,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,24801,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
Southeast,Not at all,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,25304,Female,18-29,"$50,000 - $99,999",Graduate degree,South Atlantic
Eastern United States,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,26505,Male,18-29,"$50,000 - $99,999",Graduate degree,South Atlantic
Southeast,Some,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,27295,Male,18-29,"$50,000 - $99,999",Graduate degree,South Atlantic
Mid Atlantic,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,20036,Female,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic
southeast,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,30110,Female,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic
The Southeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,28791,Female,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
the South,Not much,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,31636,Female,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
Southeast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,34952,Female,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
"The Washington, DC Metro area",Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,20906,Male,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
Paradise,Not at all,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,30093,Male,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
Sub Tropical,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,34654,Male,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
east coast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,23219,Female,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic
eastern,Not at all,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,27260,Male,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic
mideast,Some,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,33614,Male,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic
southeast,Some,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,34239,Male,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic
God' Country,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,28106,Female,> 60,"$0 - $24,999",Graduate degree,South Atlantic
South,Not much,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,33596,Male,> 60,"$0 - $24,999",Graduate degree,South Atlantic
The South,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,27587,Male,30-44,"$0 - $24,999",Graduate degree,South Atlantic
Merry Go Round of Weather!,Some,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,29732,Female,> 60,,Graduate degree,South Atlantic
Southeast,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,32617,Female,45-60,,Graduate degree,South Atlantic
Eastern,Not much,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,25541,Female,30-44,,Graduate degree,South Atlantic
western mid atlantic,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,24333,Female,> 60,"$150,000+",Associate or bachelor degree,South Atlantic
The southeast,Not at all,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,30341,Female,> 60,"$150,000+",Associate or bachelor degree,South Atlantic
the Mid-Atlantic region,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,21207,Female,> 60,"$150,000+",Associate or bachelor degree,South Atlantic
South,A lot,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,32708,Female,> 60,"$150,000+",Associate or bachelor degree,South Atlantic
South,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,34448,Female,> 60,"$150,000+",Associate or bachelor degree,South Atlantic
The South,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,30087,Male,> 60,"$150,000+",Associate or bachelor degree,South Atlantic
Mid Atlantic,Some,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,21146,Male,> 60,"$150,000+",Associate or bachelor degree,South Atlantic
Mid-Atlantic Coast,Not at all,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,23236,Female,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
Mid atlantic,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,22801,Female,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
Mid atlantic,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,23221,Male,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
Washington suburbs,Not at all,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,20895,Male,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
Country,Not much,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,29625,Male,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
Mid Atlantic,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,21146,Male,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
Southeast,Not much,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,33138,Male,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
South florida,Not much,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,33064,Male,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
"Washington, DC",Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,20170,Male,45-60,"$150,000+",Associate or bachelor degree,South Atlantic
Southeast,Not much,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,32792,Female,30-44,"$150,000+",Associate or bachelor degree,South Atlantic
Mid Atlantic,Not at all,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,24016,Male,30-44,"$150,000+",Associate or bachelor degree,South Atlantic
Northern Virginia,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,22044,Male,30-44,"$150,000+",Associate or bachelor degree,South Atlantic
southeast,Not at all,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,29649,Male,30-44,"$150,000+",Associate or bachelor degree,South Atlantic
MidAtlantic,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,20770,Female,18-29,"$150,000+",Associate or bachelor degree,South Atlantic
Mid Atlantic,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,20010,Male,18-29,"$150,000+",Associate or bachelor degree,South Atlantic
Country outside of Baltimoe,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,21131,Male,> 60,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
"the mid-Atlantic region...or else maybe ""D.C. suburbs""",Not at all,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,20902,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
south,Not at all,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,28227,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
Mid Atlantic,Not at all,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,28374,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
South,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,27896,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
Mid-Atlantic,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,20009,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
Sunshine State,Not at all,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,33186,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
South,Not at all,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,32821,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
Small town,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,29301,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
Southeast,Not much,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,30324,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
Southeast,Not at all,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,32137,Male,18-29,"$100,000 - $149,999",Associate or bachelor degree,South Atlantic
Mid-sized Southern city,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,27104,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
SE. Country,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,30182,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Mountains and river,A lot,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,26624,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
southeast,A lot,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30097,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Paradise,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,32034,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Rural,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,28692,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Southeastern U.S.,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,30039,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
South East,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,23236,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
East coast,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,23464,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
South,Not at all,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,32129,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
mid-atlantic coastal area,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,27265,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
southern,Not at all,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,28504,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
United States,Not at all,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,30188,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
South,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,32712,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Southeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,30067,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Northeast,Not much,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,18902,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
the South,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,29707,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
A southern rural community.,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,27583,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Northeast,Not at all,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,20001,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Southeast,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,28312,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Florida?,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,61530,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Florida,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,32937,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
Southeast,Not at all,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,31308,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
North Carolina,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,28227,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,South Atlantic
upper south,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,20110,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
Southeasters United States or the Deep South,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,30044,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
The South,Some,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,33612,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
A piece of Eden,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,33714,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
rural southeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,32536,Male,> 60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
Southeast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,33782,Male,> 60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
Southeast,Not much,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,34210,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
West Virginia or too close to Washington DC,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,25405,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
South Florida where the sun always shines,Some,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,33460,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
rural south,Some,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,32421,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
South east,Not at all,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,24151,Male,45-60,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
south,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,24319,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
The southeast,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,32607,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,South Atlantic
